word,meaning,level,frequency
a,art.一(个)；每一(个),CET4,
abandon,离弃，丢弃；遗弃，抛弃；放弃；放任； 纵情,CET4,
ability,能力， 本领； 才能， 才智,CET4,
able,a.有能力的；出色的,CET4,
aboard,在船上， 上船,CET4,
about,prep.关于；在…周围,CET4,
above,prep.在…上面；高于,CET4,
abroad,到国外； 在传播， 在流传,CET4,
absence,缺席， 不在； 缺席的时间， 外出期； 缺乏， 不存在,CET4,
absent,缺席的， 不在场的； 缺乏的， 不存在的； 心不在焉的,CET4,
absolute,十足的， 地道的； 绝对的， 完全的； 不受任何限制的,CET4,
absolutely,ad.完全地；绝对地,CET4,
absorb,吸收； 吸引…的注意， 使全神贯注； 把…并入， 同化,CET4,
abstract,抽象的，抽象派的；摘要， 梗概； 抽象派艺术作品；做…的摘要； 提取,CET4,
abundant,丰富的， 富裕的； 大量的， 充足的,CET4,
abuse,滥用； 虐待， 伤害； 辱骂， 毁谤；滥用； 虐待， 伤害； 辱骂， 毁谤,CET4,
academic,学院的； 学术的； 纯理论的， 不切实际的,CET4,
academy,研究会， 学会； 专门学校,CET4,
accelerate,使加快， 使增速,CET4,
acceleration,n.加速(度),CET4,
accent,口音， 腔调； 重音,CET4,
accept,vt.vi.接受；同意,CET4,
acceptable,a.可接受/合意的,CET4,
acceptance,接受； 承认； 容忍,CET4,
access,接近；通道，入口；接近的机会；存取,CET4,
accident,意外， 事故,CET4,
accidental,偶然的， 意外的,CET4,
accommodation,住处； 膳宿,CET4,
accompany,陪伴， 陪同， 伴随； 为…伴奏,CET4,
accomplish,达到； 完成,CET4,
accord,相符合； 相一致；一致，符合；谅解，协议；使符合；使一致；调节；授予，赠与，给予,CET4,
accordance,一致； 和谐,CET4,
according,相等的， 一致的， 依…而定的,CET4,
accordingly,因此， 所以； 照着,CET4,
account,说明原因； 占；记述；解释；账目,CET4,
accountancy,会计工作； 会计学,CET4,
accountant,会计人员， 会计师,CET4,
accumulate,积累， 堆积,CET4,
accuracy,准确， 精确,CET4,
accurate,准确的， 正确无误的,CET4,
accusation,谴责； 【律】 指控,CET4,
accuse,指责， 归咎于,CET4,
accustom,vt.使习惯,CET4,
accustomed,惯常的， 习惯的,CET4,
ache,疼痛；渴望；疼痛,CET4,
achieve,vt.完成，实现；达到,CET4,
achievement,完成； 成就， 成绩,CET4,
acid,酸的， 酸性的；酸,CET4,
acknowledge,承认， 承认…的权威； 告知收到， 确认； 对…表示感谢， 报偿,CET4,
acquaint,使认识， 使了解,CET4,
acquaintance,认识， 了解； 熟人,CET4,
acquire,取得， 获得， 学到,CET4,
acquisition,取得， 获得， 习得； 获得物， 增添的人,CET4,
acre,英亩,CET4,
across,prep.横过；在…对面,CET4,
act,vi.行动；见效 n.行为,CET4,
action,行动； 已做的事； 作用， 功能； 情节,CET4,
active,活跃的， 积极的； 主动的； 起作用的,CET4,
activity,活动； 活力； 行动,CET4,
actor,n.男演员；演剧的人,CET4,
actress,n.女演员,CET4,
actual,a.实际的；现行的,CET4,
actually,ad.实际上；竟然,CET4,
acute,严重的； 急性的； 灵敏的， 敏锐的； 精明的,CET4,
ad,n.广告,CET4,
adapt,使适应； 改编,CET4,
add,vt.添加，附加，掺加,CET4,
addition,加， 加法； 附加物,CET4,
additional,附加的， 追加的,CET4,
address,n.地址；演说；谈吐,CET4,
adequate,足够的； 可以胜任的,CET4,
adjective,n.形容词 a.形容词的,CET4,
adjust,调整， 调节， 校正,CET4,
administration,管理； 管理部门， 行政机关； 实行， 执行,CET4,
admire,钦佩， 羡慕； 赞赏， 称赞， 夸奖,CET4,
admission,允许进入； 承认； 入场费， 入场券,CET4,
admit,承认， 供认； 准许…进入,CET4,
adopt,收养； 采用， 采取； 正式通过， 批准,CET4,
adoptive,收养关系的； 采用的,CET4,
adult,成年的； 成年人的， 适宜于成年人的；成年人,CET4,
advance,vi.前进；提高 n.进展,CET4,
advanced,先进的； 高级的； 年迈的； 后阶段的,CET4,
advantage,优点， 优势， 好处,CET4,
adventure,奇遇； 冒险， 冒险活动,CET4,
adverb,n.副词,CET4,
advertise,为…做广告， 宣传； 公告； 登广告,CET4,
advertisement,广告， 公告， 登广告； 广告活动， 宣传,CET4,
advice,n.劝告；忠告；意见,CET4,
advisable,明智的， 可取的,CET4,
advise,vt.劝告；建议；通知,CET4,
advocate,拥护， 提倡， 主张；拥护者， 提倡者； 辩护者， 律师,CET4,
aeroplane,飞机,CET4,
affair,n.事情，事件；事务,CET4,
affect,影响； 感动,CET4,
affection,感情； 爱， 爱慕,CET4,
afford,担负得起； 提供,CET4,
afraid,a.害怕的；担心的,CET4,
africa,n.非洲,CET4,
african,a.非洲的 n.非洲人,CET4,
after,prep.在…以后；次于,CET4,
afternoon,n.下午，午后,CET4,
afterward,后来， 以后,CET4,
again,ad.又一次；而且,CET4,
against,prep.倚在；逆，对着,CET4,
age,n.年龄；时代 vt.变老,CET4,
agency,经办， 代理； 代理处； 专门行政部门,CET4,
agenda,议事日程,CET4,
agent,代理人， 代理商； 政府代表； 动因， 原因； 剂,CET4,
aggressive,侵略的， 好斗的； 敢做敢为的； 有进取心的,CET4,
ago,ad.以前,CET4,
agree,vi.同意；持相同意见,CET4,
agreement,n.协定，协议；同意,CET4,
agriculture,农业， 农学,CET4,
ahead,ad.在前；向前；提前,CET4,
aid,帮助； 救护； 助手； 辅助手段,CET4,
aim,vi.瞄准，针对；致力,CET4,
air,n.空气；空中；外观,CET4,
aircraft,飞机， 飞行器,CET4,
airline,航空公司； 航线,CET4,
airplane,飞机,CET4,
airport,机场， 航空港,CET4,
alarm,惊恐；忧虑；警报；使惊恐； 使担心,CET4,
alcohol,酒精， 乙醇,CET4,
alert,警觉的，留神的，注意的；使认识到，使意识到；警戒， 戒备； 警报,CET4,
alike,一样地， 相似地； 同样程度地；同样的，相同的,CET4,
alive,a.活着的；活跃的,CET4,
all,a.全部的 prep.全部,CET4,
alliance,结盟， 联盟,CET4,
allocate,分配， 分派， 把…拨给,CET4,
allow,允许， 准许； 同意给； 承认； 允许…进入,CET4,
allowance,津贴， 补贴； 零用钱,CET4,
ally,结盟， 联合；同盟国， 同盟者； 支持者,CET4,
almost,ad.几乎，差不多,CET4,
alone,a.单独的 ad.单独地,CET4,
along,prep.沿着 ad.向前,CET4,
alongside,在旁边，沿着边，并排地；在…旁边， 沿着…的边； 和…在一起,CET4,
aloud,ad.出声地，大声地,CET4,
alphabet,字母表， 字母系统,CET4,
already,ad.早已，已经,CET4,
also,ad.亦，也；而且，还,CET4,
alter,改变， 变更， 变动,CET4,
alternative,两者选一的， 供选择的； 另类的；替换物，选择；选择的自由,CET4,
although,conj.尽管，虽然,CET4,
altitude,海拔， 高度； 高处,CET4,
altogether,ad.完全；总而言之,CET4,
aluminium,铝,CET4,
always,ad.总是，一直；永远,CET4,
amateur,业余爱好的， 业余的； 外行的；业余爱好者；外行,CET4,
amaze,使惊奇， 使惊愕,CET4,
ambassador,大使， 使节， 派驻国际组织的代表,CET4,
ambition,雄心， 抱负； 野心； 期望得到的东西,CET4,
ambulance,救护车； 野战医院,CET4,
america,n.美洲；美国,CET4,
american,a.美洲的 n.美国人,CET4,
amid,在…中间， 在…之中， 被…围绕,CET4,
among,prep.在…之中,CET4,
amongst,在…之中,CET4,
amount,n.总数；数量；和,CET4,
ampere,n.安培,CET4,
amuse,逗…乐， 给…娱乐,CET4,
